ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
54,"[[""head"", ""nsubj""], [""to"", ""root""], [""provide"", ""root""], [""for"", ""root""], [""sb"", ""root""], [""August"", ""obl""], [""restle\u00dfness"", ""obl""], [""no"", ""obl""], [""he"", ""nsubj""], [""retreat"", ""obj""], [""no"", ""obj""]]
","Tesla CEO Elon Musk caused unrest in the stock markets at the beginning of August when he announced a withdrawal of the electric car manufacturer.
","Tesla CEO Elon Musk caused unrest in the stock markets at the beginning of August when he announced a withdrawal of the electric car manufacturer.
","Tesla CEO Elon Musk caused a stir on the stock market in early August when he announced the electric car maker's withdrawal.
","Tesla boss Elon Musk caused nervousness on the stock markets in early August when he announced a withdrawal by the electric car manufacturer.
",1.0,0.8125,-0.1875
55,"[[""stock"", ""nsubj""], [""exchange"", ""nsubj""], [""supervision"", ""nsubj""], [""to"", ""root""], [""take"", ""root""], [""proceedings"", ""root""], [""against"", ""root""], [""sb"", ""root""], [""for"", ""root""], [""sth"", ""root""], [""him"", ""obj""], [""fraud"", ""obl""], [""oneself"", ""obj""], [""both"", ""nsubj""]]
","The U.
","The U.S. authorities sued him for fraud, but now both have agreed.
","The US Securities and Exchange Commission sued him for fraud, but the two have now come to an agreement.
","The US Securities and Exchange Commission sued him for fraud, but the parties have now agreed to a settlement.
",0.4082482904638631,0.3333333333333333,-0.07491495713052976
56,"[[""aktuell.ruhr"", ""nsubj""], [""-uni"", ""nsubj""], [""-bochum"", ""nsubj""], ["".de"", ""nsubj""], [""to"", ""root""], [""pay"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""for"", ""root""], [""sth"", ""root""], [""head"", ""nsubj""], [""oneself"", ""obj""], [""supervisory"", ""obl""], [""board"", ""obl""], [""chairman"", ""nsubj""], [""he"", ""nsubj""]]
","Tesla and Musk have to pay, and the CEO is withdrawing from the Supervisory Board, but may remain CEO.
","Tesla and Musk have to pay, and the CEO is withdrawing from the Supervisory Board.
","Tesla and Musk have to pay, and the Tesla chief executive is retiring from the supervisory board, but he is allowed to remain chief executive.
","Tesla and Musk have to pay, and the Tesla boss steps down as chairman, but he may remain as CEO.
",0.9045340337332909,0.7272727272727273,-0.1772613064605636
57,"[[""party"", ""root""], [""conference"", ""root""]]
","Party Congress of British Conservatives
","British Conservative Party Congress
","British Conservative Party Conference
","The British Conservative Party Conference
",0.75,0.4472135954999579,-0.3027864045000421
58,"[[""guarded"", ""root""]]
","Sharply guarded - the Tories Congress
","Sharply guarded - the Tories Congress
","Tightly guarded - the Tory party conference
","Under tight security - the Tory party conference
",1.0,0.1690308509457033,-0.8309691490542968
59,"[[""\u201aBirmingham"", ""nsubj""], [""-"", ""nsubj""], [""Ost\u2018"", ""nsubj""], [""he's"", ""root""], [""just"", ""root""], [""turned"", ""root""], [""thirty"", ""root""], [""or"", ""root""], [""had"", ""root""], [""his"", ""root""], [""30th"", ""root""], [""birthday"", ""root""]]
","Birmingham becomes the stage of a power struggle.
","Birmingham becomes the stage of a power struggle.
","Birmingham is becoming the scene of a power struggle.
","Birmingham becomes the stage for a power struggle.
",1.0,1.0,0.0
60,"[[""party"", ""obl""], [""conference"", ""obl""], [""it"", ""nsubj""], [""foreign"", ""obl""], [""policy"", ""obl""], [""to"", ""root""], [""walk"", ""root""], [""somewhere"", ""root""]]
","The party congress is about foreign policy, trade issues and development policy, but the four-day conference is overshadowed by the dispute between Prime Minister Theresa May and the Brexit hardliners, former Foreign Minister Boris Johnson at the front.
","The party congress is about foreign policy, trade issues and development policy, but the four-day conference is overshadowed by the dispute between Prime Minister Theresa May and the Brexit hardliners, former Foreign Minister Boris Johnson at the front.
","The party conference is expected to focus on foreign policy, trade and development, but the four-day conference will be overshadowed by a row between Prime Minister Theresa May and Brexit hardliners, led by former Foreign Secretary Boris Johnson.
","The party conference was to address foreign policy, trade issues and development policy, but the four-day conference was overshadowed by the conflict between Prime Minister, Theresa May and the Brexit hardliners, with ex-Foreign Minister, Boris Johnson in the frontline.
",1.0,0.816496580927726,-0.18350341907227397
61,"[[""referendum"", ""root""]]
","referendum for a new state name
","Referendum for a new state name
","Referendum for a new state name
","Referendum for a new state name
",0.75,0.75,0.0
62,"[[""foreign"", ""nsubj""], [""minister"", ""nsubj""], [""oneself"", ""obj""], [""er|es|sie"", ""root""], [""auf"", ""root""], [""etw"", ""root""], [""haben"", ""root""]]
","The Foreign Ministers of Macedonia (right) and Greece have already agreed
","The Foreign Ministers of Macedonia (right) and Greece have already agreed
","The Foreign Ministers of Macedonia (right) and Greece have already reached an agreement
","The foreign ministers of Macedonia (right) and Greece have reached agreement
",1.0,0.6,-0.4
63,"[[""Macedonia"", ""nsubj""], [""country"", ""root""], [""Macedonia"", ""nsubj""]]
","Macedonia is a country in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in Northern Greece.
",0.8888888888888888,0.7777777777777778,-0.11111111111111105
64,"[[""www.giz.de"", ""nsubj""], [""to"", ""root""], [""argue"", ""root""], [""or"", ""root""], [""quarrel"", ""root""], [""with"", ""root""], [""sb"", ""root""], [""Namensdopplung"", ""obl""], [""to"", ""obl""], [""be"", ""obl""], [""the"", ""obl""], [""anniversary"", ""obl""], [""of"", ""obl""]]
","Skopje and Athens have been arguing over the double names for years already.
","Skopje and Athens have been arguing about these names for years.
","Skopje and Athens have been arguing over these duplications of names for years.
","Skopje and Athens have been arguing about the duplicate name for years.
",0.8660254037844387,0.6681531047810609,-0.19787229900337777
65,"[[""she"", ""nsubj""], [""oneself"", ""obj""], [""er|es|sie"", ""root""], [""auf"", ""root""], [""etw"", ""root""], [""haben"", ""root""]]
","Now they've agreed.
","Now they've agreed.
","Now they have come to an agreement.
","Now they have come to an agreement.
",1.0,0.5,-0.5
66,"[[""country"", ""nsubj""], [""Macedonia"", ""obj""], [""to"", ""root""], [""be"", ""root""], [""called"", ""root""], [""Sunday"", ""obl""], [""population"", ""nsubj""], [""it"", ""nsubj""]]
","The state of Macedonia is to be called North Macedonia in the future and the population will vote on this Sunday - whether it is going well?
","The state of Macedonia is to be called North Macedonia in the future and the population will vote on this Sunday - whether it is okay?
","The state of Macedonia is to be called Northern Macedonia in future and the population will vote on this on Sunday - will it be all right?
","In future, the state of Macedonia is to be called North Macedonia and the population will vote on this measure on Sunday from the population - will it turn out okay?
",0.8894991799933214,0.6900655593423543,-0.19943362065096715
67,"[[""protest"", ""root""]]
","Protests in Brazil against right-wing populists Bolsonaro.
","Protests in Brazil against right-wing populists Bolsonaro.
","Protests in Brazil against right-wing populist Bolsonaro.
","Protests in Brazil against right-wing populist Bolsonaro.
",1.0,0.8333333333333334,-0.16666666666666663
68,"[[""de.escapio.com"", ""nsubj""], [""serious"", ""nsubj""], [""www.redbull.com"", ""root""]]
","""Ele Nao"" (""The Not"") is Jair Bolsonaro.
","""Ele Nao"" (""The Not"") is Jair Bolsonaro.
","""Ele Nao"" (""The one not"") - that is Jair Bolsonaro.
","Ele Nao (""Not him"") - addressed to Jair Bolsonaro.
",1.0,0.8703882797784892,-0.1296117202215108
69,"[[""mood"", ""nsubj""], [""fissured"", ""root""]]
","A week before the presidential election in Brazil, the mood in Brazil is divided.
","A week before the presidential election in Brazil, the mood in Brazil is divided.
","With a week to go until Brazil's presidential election, the country's mood is divided.
","One week before the presidential election in Brazil and the mood in the country is divided.
",1.0,0.7777777777777778,-0.2222222222222222
70,"[[""or"", ""nsubj""], [""one"", ""nsubj""], [""thousand"", ""nsubj""], [""to"", ""root""], [""walk"", ""root""], [""somewhere"", ""root""], [""town"", ""obl""], [""road"", ""obl""], [""right"", ""obl""], [""-"", ""obl""], [""wingen"", ""obl""], [""populist"", ""obl""]]
","Thousands of people went to the streets in several cities to protest the right-wing populist Jair Bolsonaro.
","Thousands of people took to the streets in several cities to protest Jair Bolsonaro.
","Thousands took to the streets in several cities to protest against right-wing populist Jair Bolsonaro.
","In many cities thousands are taking to the street to protest against the right-wing populist Jair Bolsonaro.
",0.8215838362577491,0.5833333333333334,-0.23825050292441574
71,"[[""de.escapio.com"", ""nsubj""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""candidat"", ""obl""], [""survey"", ""obl""]]
","The ""Trump Brazil"" acts as an anti-system candidate, leading the polls.
","The ""Trump Brazil"" acts as an anti-system candidate, leading the polls.
","The ""Trump of Brazil"" presents himself as an anti-system candidate and is thus ahead in the polls.
","The ‘Brazilian Trump’ is presenting himself as an anti-system candidate and is ahead in the polls.
",1.0,0.5222329678670935,-0.4777670321329065
72,"[[""competitor"", ""nsubj""], [""universes-in-universe.org"", ""root""]]
","His strongest competitor is Fernando Haddad of the Left Workers' Party.
","His strongest competitor is Fernando Haddad of the Left Labour Party.
","His closest rival is Fernando Haddad of the leftist Workers' Party.
","His keenest competitor is Fernando Haddad from the left workers’ party.
",0.8432740427115678,0.5,-0.3432740427115678
73,"[[""www.teneues.com"", ""nsubj""], [""to"", ""root""], [""last"", ""root""]]
","Audi: ""Dieselgate"" processing takes longer than planned
","Audi: ""Dieselgate"" processing takes longer than planned
","Audi: ""Dieselgate"" refurbishment takes longer than planned
","Audi: ""Dieselgate"" regeneration takes longer than planned
",1.0,0.8888888888888888,-0.11111111111111116
74,"[[""task"", ""nsubj""], [""force"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.volkswagenag.com"", ""nsubj""]]
","""The Diesel task force still exists,"" said Peter Mertens, Chief Development Officer, to the industry journal ""Automobile Week"".
","""The diesel task force still exists,"" said Peter Mertens, Chief Development Officer, to the industry journal ""Automobile Week"".
","""The diesel taskforce still exists,"" Peter Mertens, Member of the Board of Management for Development, told the industry newspaper ""Automobilwoche.""
","There is still a diesel taskforce, said Peter Mertens, chief development officer from the ‘Automobilwoche’ trade journal.
",0.95,0.3796283011826483,-0.5703716988173517
75,"[[""head"", ""nsubj""], [""December"", ""obl""], [""to"", ""root""], [""announce"", ""root""], [""sb"", ""root""], [""to"", ""root""], [""sb"", ""root""]]
","In December 2017, Audi CEO Rupert Stadler, who was imprisoned and on leave, announced that the task force would soon be dissolved.
","In December 2017, Audi CEO Rupert Stadler, who was imprisoned and on leave, announced that the task force would soon be dissolved.
","The imprisoned and placed on leave Audi CEO Rupert Stadler announced in December 2017 that the task force would soon be disbanded.
","In December 2017 the imprisoned and suspended Audi CEO Rupert Stadler had announced, the taskforce will be dissolved soon.
",1.0,0.8140915784106943,-0.18590842158930565
76,"[[""\"""", ""root""]]
","""All engine/gear combinations are expected to be tested in the first quarter of 2018, he said.
","""All engine/gear combinations are expected to be tested in the first quarter of 2018, he said.
","""All engine / transmission combinations are expected to be tested in the first quarter of 2018,"" he said at the time.
","In the first quarter of 2018 all engine/transmission combinations will have been checked, he said at the time.
",1.0,0.6092717958449424,-0.3907282041550576
77,"[[""www.culinaris.eu"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""July"", ""obl""], [""we"", ""nsubj""], [""interim"", ""obj""], [""targen"", ""obj""]]
","Mertens said: ""At the beginning of July, we reached an important milestone in addressing the diesel crisis.
","Mertens said: ""At the beginning of July, we reached an important milestone in addressing the diesel crisis.
","Mertens said: ""At the beginning of July we reached an important milestone in dealing with the diesel crisis.
","Mertens now says: ‘At the start of July we have an important milestone by which the diesel crisis will have been worked out.
",1.0,0.6445033866354896,-0.35549661336451044
78,"[[""we"", ""nsubj""], [""analysis"", ""obj""], [""secluded"", ""root""]]
","We have completed the internal technical analyses of our VTDI engines.
","We have completed the internal technical analyses of our VTDI engines.
","We have completed the internal technical analyses of our VTDI engines.
","We have completed the internal technical analyses of our VTDI engines.
",1.0,1.0,0.0
79,"[[""September"", ""obl""], [""discovery"", ""obl""], [""www.teneues.com"", ""obl""], [""to"", ""root""], [""found"", ""root""], [""sth"", ""root""]]
","The taskforce was founded in September 2015 after the discovery of the diesel scandal at Audi's parent Volkswagen.
","The task force was founded in September 2015 after the discovery of the diesel scandal at Audi parent Volkswagen.
","The task force was set up in September 2015 following the discovery of the diesel scandal at Audi's parent company Volkswagen.
","The taskforce was set up in September 2015 following the discovery at Audi parent company Volkswagen.
",0.8461538461538461,0.7205766921228921,-0.12557715403095404
80,"[[""www.culinaris.eu"", ""nsubj""], [""emphatic"", ""root""], [""car-maker"", ""nsubj""], [""unforeseeabl"", ""obj""], [""changes"", ""obj""], [""scandal"", ""nsubj""]]
","Mertens stressed that the car maker had made ""serious organizational changes"" so that such a scandal never occurred again.
","Mertens stressed that the car maker had made ""serious organizational changes"" so that such a scandal never occurred again.
","Mertens stressed that the carmaker had made ""serious organisational changes"" to ensure that such a scandal would never happen again.
","Mertens highlighted that the automobile manufacturers had made ‘serious, organizational changes’, to prevent such a scandal ever happening again.
",1.0,0.46770717334674267,-0.5322928266532574
81,"[[""www.hnf.de"", ""nsubj""], [""supervisory"", ""nsubj""], [""board"", ""nsubj""], [""Friday"", ""obl""], [""decision"", ""obj""], [""to"", ""root""], [""adjourn"", ""root""], [""sth"", ""root""], [""until"", ""root""], [""sth"", ""root""], [""Tuesday"", ""obl""]]
","The VW Supervisory Board had postponed a decision on Stadler's future on Friday and will continue to discuss this Tuesday.
","The VW Supervisory Board had postponed a decision on Stadler's future on Friday and wants to discuss this Tuesday.
","The VW Supervisory Board postponed a decision on Stadler's future on Friday and intends to discuss it further on Tuesday.
","The VW Supervisory Board had postponed a decision on Stadler's future on Friday and will continue this discussion on Tuesday.
",0.9285714285714286,0.9285714285714286,0.0
82,"[[""investigating"", ""nsubj""], [""authority"", ""nsubj""], [""to"", ""root""], [""throw"", ""root""], [""sth"", ""root""], [""somewhere"", ""root""], [""to"", ""obl""], [""transpire"", ""obl""], [""sale"", ""obj""]]
","The investigating authorities accuse the Audi chief of having authorised the sale of diesel cars with false exhaust gas values after they become aware of the fraud.
","The investigating authorities accuse the Audi chief of having authorised the sale of diesel cars with false exhaust gas values after they become aware of the fraud.
","The investigating authorities accuse the Audi boss of having allowed the sale of diesel cars with incorrect exhaust values after the emission cheating became known.
","The investigating authorities accuse the Audi boss, following awareness of exhaust emission cheating, of permitting the sale of diesel automobiles with false emission values.
",1.0,0.5948118774794626,-0.4051881225205374
83,"[[""he"", ""nsubj""], [""manipulation"", ""obl""], [""esp"", ""obl""], [""to"", ""root""], [""know"", ""root""], [""sth"", ""root""], [""about"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""she"", ""obj""]]
","He knew about the manipulations or deliberately ignored them.
","He knew about the manipulations or deliberately ignored them.
","He said he knew about the manipulations or deliberately ignored them.
","He must have known about the tampering or deliberately ignored it.
",1.0,0.6172133998483676,-0.38278660015163235
84,"[[""to"", ""root""], [""run"", ""root""], [""or"", ""root""], [""be"", ""root""], [""in"", ""root""], [""charge"", ""root""], [""of"", ""root""], [""sth"", ""root""], [""de.mimi.hu"", ""nsubj""], [""firm"", ""obj""], [""chief"", ""obl""], [""executiv"", ""obl""]]
","Bram Schot currently heads the company as acting CEO.
","Bram Schot currently heads the company as Chief Executive Officer.
","Bram Schot, Chief Sales Officer, currently heads the company as acting CEO.
","Currently the Sales Director Bram Schot heads the company as Acting Chief Executive Officer.
",0.7071067811865476,0.5103103630798288,-0.19679641810671877
85,"[[""the"", ""obl""], [""switch"", ""obl""], [""or"", ""obl""], [""change"", ""obl""], [""from"", ""obl""], [""sth"", ""obl""], [""to"", ""obl""], [""sth"", ""obl""], [""shortfall"", ""obj""], [""in"", ""obj""], [""production"", ""obj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.lanex.cz"", ""nsubj""]]
","Due to the switch to the new exhaust and consumption test standard WLTP there were production failures at Audi, said Schot the ""Heilbronner Voice"".
","Due to the switch to the new exhaust gas and consumption test standard WLTP there were production failures at Audi, said Schot the ""Heilbronn Voice"".
","Due to the conversion to the new exhaust and consumption test standard WLTP, there are production failures at Audi, Schot told ""Heilbronner Stimme.""
","After conversion to the new emissions and consumption standard WLTP, there were production losses at Audi, Schot told the ‘Heilbronner Stimme’.
",0.9233805168766388,0.5407380704358752,-0.3826424464407636
86,"[[""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""he"", ""nsubj""], [""demand"", ""obj""], [""for"", ""obj""], [""www.schlemmerinfo.de"", ""obl""]]
","In principle, he sees a declining demand for saloons such as Audi models A6, A7 and A8, produced in Neckarsulm.
","In principle, he sees a declining demand for saloons such as Audi A6, A7 and A8, produced in Neckarsulm.
","In principle, he sees a decreasing demand for saloons such as the A6, A7 and A8 audio models, which are produced in Neckarsulm.
","Essentially, he sees a falling demand for limousines such as the Audi models A6, A7 and A8, produced in Neckarsulm.
",0.9660917830792959,0.7590721152765897,-0.2070196678027062
87,"[[""Segment"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""he"", ""nsubj""]]
","""This segment itself is difficult,"" he said.
","""The segment itself is difficult,"" he said.
","""The segment itself is difficult,"" he said.
","The segment in itself is a difficult one, he said.
",0.875,0.6681531047810609,-0.20684689521893906
88,"[[""www.lanex.cz"", ""nsubj""], [""to"", ""root""], [""put"", ""root""], [""or"", ""root""], [""place"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""somewhere"", ""root""], [""electromobility"", ""obl""]]
","Schot puts his trust in electromobility.
","Schot relies on electromobility.
","Schot focuses on electromobility.
","Schot is for electromobility.
",0.6708203932499369,0.7745966692414834,0.10377627599154648
89,"[[""www.joest-racing.de"", ""obl""], [""to"", ""root""], [""lie"", ""root""], [""reservation"", ""nsubj""]]
","For the e-tron, the first Audi electric car, 15,000 reservations are already available.
","For the e-tron, the first Audi electric car, there are already 15,000 reservations.
","There have already been 15,000 reservations for the e-tron, the first Audi electric car.
","There are already 15,000 reservations for the e-tron, the first Audi electric automobile.
",0.9574271077563381,0.7833494518006403,-0.1740776559556978
90,"[[""www.biologie.uni-hamburg.de"", ""nsubj""], [""to"", ""root""], [""strive"", ""root""], [""or"", ""root""], [""try"", ""root""], [""hard"", ""root""], [""for"", ""root""], [""sth"", ""root""], [""re-election"", ""obj""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""]]
","Grindel strives for re-election - Lahm to join the DFB Bureau
","Grindel seeks re-election - Lame to the DFB Bureau
","Grindel aims for re-election - Lahm to join DFB Presidium
","Grindel seeking re-election - Lahm to join the Presidential Board of the German football association (DFB)
",0.6681531047810609,0.5669467095138409,-0.10120639526722008
91,"[[""Mainz"", ""nsubj""], [""criticism"", ""obl""], [""of"", ""obl""], [""sb"", ""obl""], [""sth"", ""obl""], [""year"", ""obl""], [""office"", ""obl""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""], [""to"", ""root""], [""stehen"", ""root""], [""or"", ""root""], [""run"", ""root""], [""for"", ""root""], [""sth"", ""root""]]
","Mainz (dpa) - Reinhard Grindel wants to run for office as DFB President again next year, despite the criticism of his person after the World Cup event and the Özil affair.
","Mainz (dpa) - Reinhard Grindel wants to run again for office as DFB President in the coming year despite the criticism of his person after the World Cup and the Özil affair.
","Mainz (AP) - Reinhard Grindel wants to run for president of the DFB again next year, despite the criticism of his person following the World Cup exit and the Özil affair.
","Mainz (dpa) - Despite the criticism directed at him personally following the early FIFA World Cup exit and the scandal around Mesut Özil, Reinhard Grindel wants to run for office as President of the DFB again in the coming year.
",0.9139076937674137,0.7080881928749334,-0.20581950089248024
92,"[[""\"""", ""root""]]
","""I do my job.
","""I do my job and try to do it as well as I can,"" said Grindel as a guest early Sunday morning at ZDF's ""Current Sports Studio"".
","""I'm doing my job and trying to do it as well as I can,"" Grindel said as a guest early Sunday morning in ZDF's ""Aktuelles Sportstudio.""
","I do my work and try to make it as good as it gets, said Grindel as a guest early Sunday morning on ZDF’s weekly sports broadcast ""Das aktuelle Sportstudio"".
",0.4588314677411235,0.3061862178478973,-0.1526452498932262
93,"[[""Isle"", ""nsubj""], [""of"", ""nsubj""], [""man"", ""nsubj""], [""oneself"", ""obj""], [""re-election"", ""obl""], [""to"", ""root""], [""try"", ""root""], [""hard"", ""root""], [""to"", ""root""], [""do"", ""root""], [""sth"", ""root""], [""the"", ""obj""], [""me"", ""nsubj""]]
","You have to try again and again to re-election, I will.
","I'll do that.
","You have to keep trying to get re-elected, and I will do that.
","A re-election should be attempted and that is what I will do.
",0.47140452079103173,0.5477225575051661,0.07631803671413434
94,"[[""they"", ""nsubj""], [""to"", ""root""], [""look"", ""root""], [""in"", ""root""], [""through"", ""root""], [""out"", ""root""], [""of"", ""root""], [""sth"", ""root""], [""Support"", ""nsubj""]]
","And then you have to look if the support is there.
","And then you have to see if the support is there.
","And then you have to see if the support is there.
","And then you have to see what kind of support you get.
",0.75,0.6123724356957946,-0.13762756430420542
95,"[[""Verbandschef"", ""nsubj""], [""to"", ""root""], [""find"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""it"", ""obj""], [""word"", ""obl""], [""he"", ""nsubj""], [""supplementary"", ""obl""], [""charge"", ""obl""], [""2024"", ""obl""], [""desire"", ""obj""], [""www.campus-bielefeld.de"", ""obl""]]
","The head of the association would find it ""notable"" in his own words if he did not ""want to work on the future project"" after the match for the 2024 European Championship.
","The head of the association would find it ""notable"" in his own words if he did not ""want to work on the future project"" after the match for the 2024 European Championship.
","The FA chief said it would be'strange' if he did not 'feel like working on the project for the future' following the bid for Euro 2024.
","In his own words, the head of the association would find it ""strange"" if he did not ""feel like working on the future project"" after Germany was awarded the UEFA European Football Championship 2024.
",1.0,0.6389151433378876,-0.36108485666211243
96,"[[""www.biologie.uni-hamburg.de"", ""nsubj""], [""Verbandschef"", ""root""]]
","Grindel has been the head of the association since April 2016 as the successor of Wolfgang Niersbach, who fell over the summer tale affair.
","Grindel has been the head of the association since April 2016 as the successor of Wolfgang Niersbach, who fell over the summer fairy tale affair.
","Grindel has been the head of the FA since April 2016, succeeding Wolfgang Niersbach, who was ousted over the summer transfer saga.
","Since April 2016, Grindel has been the head of the association as successor to Wolfgang Niersbach, who had to resign amidst the scandals surrounding the 2006 FIFA World Cup in Germany.
",0.9682458365518541,0.5773502691896257,-0.3908955673622284
97,"[[""autumn"", ""obl""], [""period"", ""obl""], [""of"", ""obl""], [""office"", ""obl""], [""elegant"", ""root""]]
","In autumn 2016, he was elected to a full term of three years.
","In autumn 2016, he was elected for a first full term of three years.
","In autumn 2016, he was elected for a first full three-year term.
","In autumn 2016 he was elected for a first full term of three years.
",0.9534625892455924,0.9,-0.05346258924559233
98,"[[""vot"", ""nsubj""], [""to"", ""root""], [""stehen"", ""root""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""], [""27"", ""obl""]]
","The next vote will take place at the German Federal Day on 27 September 2019.
","The next vote will take place at the German Federal Day on 27 September 2019.
","The next vote will take place at the DFB-Bundestag on 27 September 2019.
","The next vote will be held at the DFB’s national conference on September 27, 2019.
",1.0,0.560448538317805,-0.43955146168219505
99,"[[""www.denkwerk.com"", ""nsubj""], [""www.biologie.uni-hamburg.de"", ""obl""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""], [""to"", ""root""], [""collaborate"", ""root""], [""on"", ""root""], [""sth"", ""root""], [""with"", ""root""], [""sb"", ""root""]]
","According to Grindel, the future EM leader Philipp Lahm will work in the DFB Bureau.
","According to Grindel, the future EM leader Philipp Lahm will work in the DFB Bureau.
","According to Grindel, the future head organiser of the European Championships, Philipp Lahm, is to be a member of the DFB executive committee.
","According to Grindel, the future head organizer of the 2024 European Football Championship in Germany, Philipp Lahm, is to join the DFB Presidential Board.
",1.0,0.5443310539518174,-0.45566894604818264
100,"[[""self"", ""nsubj""], [""me"", ""obj""], [""colleague"", ""nsubj""], [""chairmanship"", ""obl""], [""he"", ""nsubj""], [""roll"", ""obl""], [""chairmanship"", ""obl""], [""to"", ""obl""], [""ask"", ""obl""], [""experienc"", ""obj""], [""decree"", ""obl""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.biologie.uni-hamburg.de"", ""nsubj""]]
","""I would be pleased if my colleagues in the Bureau agreed that he would continue to advise the Bureau in this role and then, of course, be warmly invited to provide his experience on sporting issues,"" said Grindel.
","""I would be pleased if my colleagues in the Bureau agreed that he would continue to advise the Bureau in this role and then, of course, be warmly invited to provide his experience on sporting issues,"" said Grindel.
","""I would be pleased if my colleagues in the Bureau would agree that he will continue to advise in this role in the Bureau and then, of course, be cordially invited to share his experience in sports matters,"" Grindel said.
","I would be pleased if my colleagues on the presidential board agreed that he will continue to provide advice on the board in this role and then of course we very much invite him to share his experience in sporting matters, said Grindel.
",1.0,0.6818181818181818,-0.31818181818181823
101,"[[""speculation"", ""obl""], [""lam"", ""nsubj""], [""successor"", ""nsubj""], [""German"", ""obl""], [""Football"", ""obl""], [""Association"", ""obl""], [""he"", ""nsubj""], [""oneself"", ""obj""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""share"", ""root""], [""in"", ""root""], [""sth"", ""root""]]
","He did not want to participate in speculation as to whether Lahm could become his successor as DFB boss.
","He did not want to participate in speculation as to whether Lahm could become his successor as DFB boss.
","Lahm did not want to take part in speculation as to whether he could succeed him as head of the DFB.
","At the same time, he did not want to speculate as to whether or not Lahm could succeed him as head of the DFB.
",1.0,0.5,-0.5
102,"[[""consequenc"", ""obl""], [""to"", ""root""], [""say"", ""root""], [""something"", ""root""], [""about"", ""root""], [""sth"", ""root""], [""www.biologie.uni-hamburg.de"", ""nsubj""], [""weshen"", ""obj""], [""national"", ""nsubj""], [""player"", ""nsubj""]]
","As a consequence of the affair over the photos of Mesut Özil and Ilkay Gündogan with Turkish President Recep Tayyip Erdogan, Grindel expressed the wish that in future a national player without a migrant background should become an integration ambassador of the DFB.
","As a consequence of the affair over the photos of Mesut Özil and Ilkay Gündogan with Turkish President Recep Tayyip Erdogan, Grindel expressed the wish that in future a national player without a migrant background should become an integration ambassador of the DFB.
","As a consequence of the affair over the photos of Mesut Özil and Ilkay Gündogan with Turkish President Recep Tayyip Erdogan, Grindel expressed the wish that in future a national team player without a migration background should become an integration ambassador of the DFB.
","As a consequence of the scandal over the photos taken by Mesut Özil and Ilkay Gündogan with the Turkish President Recep Tayyip Erdogan, Grindel expressed a preference for a national team player without an immigration background to fill the position of DFB ambassador for integration.
",1.0,0.7935753932437074,-0.2064246067562926
103,"[[""to"", ""root""], [""practise"", ""root""], [""or"", ""root""], [""practice"", ""root""], [""sth"", ""root""], [""office"", ""obj""], [""Brazilian"", ""nsubj""], [""latt"", ""nsubj""], [""to"", ""obj""], [""be"", ""obj""], [""rooted"", ""obj""], [""in"", ""obj""], [""sth"", ""obj""]]
","Currently, this office is held by the Brazilians Cacau and Celia Sasic who have family roots in Cameroon.
","Currently, this office is held by the Brazilians Cacau and Celia Sasic.
","Cacau, who was born in Brazil, and Celia Sasic, who has family roots in Cameroon, currently hold the posts.
","Currently, this position is filled by native Brazilian Cacau and Celia Sasic, who traces her family back to Cameroon.
",0.8660254037844386,0.6172133998483676,-0.24881200393607095
